node_id,name,countries,country_codes,source_id,valid_until,note
20000001,Viktor Aleksandr Petrov,Russia,RU,Panama Papers,,
20000002,Li Wei Chen,China,CN,Panama Papers,,
20000003,Mohammed Al-Rashid,United Arab Emirates,AE,Panama Papers,,
20000004,Carlos Eduardo Montoya,Colombia,CO,Panama Papers,,
20000005,Elena Sorokina,Ukraine,UA,Panama Papers,,
20000006,Jean-Pierre Dubois,France,FR,Pandora Papers,,
20000007,Hiroshi Tanaka,Japan,JP,Pandora Papers,,
20000008,Fatima Binte Abdullah,Malaysia,MY,Pandora Papers,,
20000009,Andrei Gheorghescu,Romania,RO,Offshore Leaks,,
20000010,Isabella Fernandez Torres,Argentina,AR,Offshore Leaks,,
20000011,Klaus Werner Hoffmann,Germany,DE,Panama Papers,,
20000012,Priya Ramachandran,India,IN,Pandora Papers,,
20000013,Oluwaseun Adebayo,Nigeria,NG,Bahamas Leaks,,
20000014,Sergei Vladimirovich Morozov,Russia,RU,Panama Papers,,
20000015,Ana Patricia Villalobos,Mexico,MX,Pandora Papers,,
20000016,James Bartholomew Whitfield,United Kingdom,GB,Offshore Leaks,,
20000017,Nadia Kowalski,Poland,PL,Panama Papers,,
20000018,Takeshi Yamamoto,Japan,JP,Bahamas Leaks,,
20000019,Maria Elena Castellanos,Venezuela,VE,Panama Papers,,
20000020,Ahmed Farouk El-Sayed,Egypt,EG,Pandora Papers,,
